latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.96875,42.25625,1243.7516,0.16466561,-0.0009082739,6.6849365,28.82898,34.413574,31.424513,66.389946,282.80078
43.96875,42.26875,1115.7734,0.13610637,0.002320451,-27.398682,-31.278564,-55.019653,26.706741,64.23395,270.43915
43.96875,42.28125,1096.1091,0.18528906,-0.0019931407,23.617065,18.250366,-38.90039,22.017038,59.865475,257.97235
43.96875,42.29375,970.43256,0.092009336,0.00046695716,-10.552124,-38.061768,-137.68695,13.28533,51.978962,244.20691
43.96875,42.30625,921.2799,0.0152586475,0.0012489227,-8.223389,-43.022217,-172.11536,7.8382077,40.967213,232.89264
43.96875,42.31875,968.84937,0.087115794,-0.00035250164,2.6314697,-8.174438,-129.61353,13.774978,51.07103,242.55255
43.96875,42.33125,1078.4827,0.33472633,-0.0010119962,10.869263,21.755371,-38.140625,26.568308,86.05158,383.96887
43.96875,42.34375,1202.453,0.09110097,-0.0013750525,9.872803,69.663086,63.858154,19.451864,84.51109,389.0241
43.96875,42.35625,1200.9102,0.3173648,-0.0031356164,20.007324,-9.434692,36.585083,37.561615,91.41321,423.40344
43.96875,42.36875,1324.513,0.22502612,0.003130225,-24.261963,1.5432129,135.94788,47.188454,87.65914,361.3766
43.96875,42.38125,1469.6514,0.15925755,-0.0022221832,26.698853,99.18286,255.80676,38.62318,72.19158,278.20532
43.96875,42.39375,1406.7157,0.50143963,0.00014703597,7.384033,50.828735,175.86243,61.310684,85.08672,302.69666
43.96875,42.40625,1453.6549,0.099337034,-0.002097865,21.762451,91.84717,216.5354,31.786396,78.677345,289.94043
43.96875,42.41875,1333.7784,0.2147944,0.001927585,-13.040039,-18.131714,100.36279,41.680332,65.72575,277.76587
43.96875,42.43125,1218.2649,0.07658194,0.001089621,-18.904907,-97.60535,0.95166016,21.491278,72.838005,300.48975
43.96875,42.44375,1280.969,0.48727125,-0.0016076708,9.063477,1.5198975,77.38965,58.369514,90.370766,322.17017
43.96875,42.45625,1240.3229,0.24766812,0.0049722968,-34.032227,-35.74817,51.961426,46.28985,95.59289,303.77417
43.96875,42.46875,1290.4491,0.64163345,-0.00089982996,5.8117676,14.234253,119.53088,53.81914,95.82145,311.5531
